comments,id,no,title
"첫시즌 골드 = 일반인, 플레이상 = 재능충, 실버이하 = 무재능벌레,시즌2 세기말때 1부터한거라 만렙찍고 챔피언도 캐시지르고 랭겜시작한지 이주정도밖에안ㅤㄷㅚㅆ음 시즌3프리시즌 끝나고 세달만에 다5갓었는데 괜찮게한거아니노?",leagueoflegends3,2777990,솔직히 나정도면 재능있던거맞지?
,leagueoflegends3,2777964,"Lck몰락은 초록강타, 시야석 삭제랑 오른 출시 이 두개가 기점인듯"
"개돼지 노예 취급보단 훨씬 나은데 환상가질만하지,한국보단 나아  - dc App",leagueoflegends3,2777962,한국새끼들 미국이 군인 대우 좋은줄 착각하네 ㅋㅋㅋ
,leagueoflegends3,2777989,라쳇클랭크 겜 아는놈 있냐?
ㅇㅇ,leagueoflegends3,2777986,프리시즌에도 배치보냐
"도토리 키재기,니가 카사딘이잖냐  - dc App,원래 다4까지 다야아니라고하잖슴. 근데 다3도 다3 나름인게 다4만나는 다3이랑 다2나 다1만나는 엠엠알높은 다3이랑 다른거지. 다 3쯤 중간에서 예티랑 다이야랑 구분되는거같음. 보닌쟝 탑레 다3 100점인데 연승해서 승급전가니까 갑자기 뭔가 그 아래티어랑 분위기 싹바끼고 다2 다1 만나니까 확실히 다3~다4랑 다르더라  - dc App",leagueoflegends3,2777985,다4이랑 다3차이 심함?
,leagueoflegends3,2777965,카이사 모든 스킬딜 70퍼로 줄여도
일베 없어질때까지,leagueoflegends3,2777999,좆벤 일베타령하는거 언제까지 하는거
,leagueoflegends3,2777959,클로버모데카이저 좆같다..
,leagueoflegends3,2777998,이상하다 분명히 예전에 열광몰왕제이스하면 탱커도 뚫었는데
,leagueoflegends3,2778003,우르프 오늘 끝임?.ask
e짤로 도벽터치고 6렙되면 ㅈㄴ뜯지 - dc App,leagueoflegends3,2778002,근데 케일로 왜 도벽 드는 거임?
"북미충 틀딱들이 d점멸씀,ㅇ",leagueoflegends3,2778005,D점멸충들은 뇌 구조가 궁금함 ㅇㅇ
,leagueoflegends3,2778001,근데 지금 자야 카이사 너프당한 시점에서 케스파컵때 뭐나올거 같냐
"근데 90분 ㅈㄴ 심한거 아니냐 공산주의인건 아는데,중간에 닷지나거나 해서 큐 안잡히면 하루 두판 ㅋㅋㅋ - dc App,ㅋㅋㅋㅋ ㅅㅂ 롤 90분만 할 수는 있나?,거기 또 짱깨가 짱깨함?  - dc App",leagueoflegends3,2778000,결국 lck가 2부리그가 될 수 밖에 없는 이유
"서폿매물이 없어서 그정돈됨,솔직히 별로지,별로여도 매물이 없음,에포트말고 나올 서폿이 거의 없지않음? ㅆㅅㅌㅊ인데,리헨즈 원탑에 그 다음 자리는 노릴만해지 기껏해야 에포트 베릴나밖에 없음,투신도 못제끼는데",leagueoflegends3,2778004,에포트는 매물로 나오면 어느정도 급이냐?
조혜련 - dc App,leagueoflegends3,2777963,아케이드카이사ㅤㅇㅙㄹ캐못생겻냐
,leagueoflegends3,2777974,지금 솔랭 1등 치열하네
"프레이 ??,데프트??,도파: ?,으... - dc App,도파는요,그분은 프로 문턱에도 못가보셧잖아요,짤영상어디서봄",leagueoflegends3,2777968,팩트) 몇년동안 챌상위권 유지하는애는 이커형밖에 없음
,leagueoflegends3,2777934,한시간밖에안잤는데 잠이안옴
,leagueoflegends3,2777919,티어가낮으면한챔프만하면서올리는게맞지
,leagueoflegends3,2777917,진짜 골드 탈출엔 탈론만한게 없는거같음 ㄹㅇ .........
,leagueoflegends3,2777918,플레 정글인데 니달리 파는거 어떰?
,leagueoflegends3,2777921,근데 레오나&노틸러스로 떠먹여줘도
"초중반엔 되게중요함 보통 스킬두번쓰고 평타치면 타이밍맞음,오 감사",leagueoflegends3,2777920,라이즈 스킬마다 평타 섞어줘야됨?
리멕전 소라카ㄱㄱ,leagueoflegends3,2778008,발로 소라카 보지 존나 비비고싶다
"근데 이미 경험쌓을만큼쌓음,다음시즌에 갈릴듯,안좋아짐,ㅇㅇ 싹수는 보이니까. 거기에 서폿은 기량보다 연차가 더 영향이 큰 포지션이라고 생각하는데 연차대비 잘했음. 크리스프가 괴물인거지 에포트가 못한다는 생각은 안듬.,아니 못하긴했음 솔직히 특히 레오나했을때",leagueoflegends3,2778014,에포트는 이번에 ㅈㄴ못하긴했어도 경험 쌓으ㅤㅁㅕㅁ
"존나예전에 로아내셔 이렇게갔었음 결국 리치베인으로 다 갈아탔지만,난 둘다 가봤는데 좋더라 ㅋㅋ",leagueoflegends3,2778007,피즈 내셔 원래 ㄱㅊ은템이냐?
"루난 뭔데,그런방법있으면 나도좀 가르쳐줘라,신발이없어; 트포라도 가지 - dc App,근데 실번데 왜 브실골이라고함?,브실이라고해라 십새야 ㅋㅋㅋ",leagueoflegends3,2777946,브실골 원딜인데 조언좀 해주새요...
,leagueoflegends3,2777972,개인적으로 클리드 ig 가고 bdd rng 가면 좋겠다
건대나 홍대가고 안 낚이면 인천이나 부천까지 내려감.,leagueoflegends3,2777916,요즘은 강남 홍대 건대중 어디가 핫해요?
가면 쓰면 좋겠따 존나 멋있겠네 ㅋㅋㅋ,leagueoflegends3,2777996,g2 우승하면 사무라이스킨 나올거 상상만해도 꼴리네 ㄹㅇ
,leagueoflegends3,2778006,아군 쓰레쉬 펄스건 쳐 끼고있으면 탈주 합법이지?
플2승급전떨구고 8연패했음 대리맡기고 쳐돌리는새끼들이랑 머리기사 ㅈㄴ많다  - dc App,leagueoflegends3,2777997,진지하게 세기말 플레 현지인들 티어 올리기 개빡셀듯
"근본은 뭔데?  - dc App,필트오버아니냐,녹슨 블리츠,근본은 필트오버  - dc App",leagueoflegends3,2777969,우리팀 서폿 블리츠 근본없이 i블리츠 쳐끼고있네
"와드싸개 할바에 정글감,ㅈㄹ 정글에 캠핑장차린새끼들 많이보이던데 ㅋㅋ",leagueoflegends3,2777971,초등학생들이 정글&서포터를 기피한다고 하는데
"럼블  - dc App,라이즈,ㄹㅇㅈ,라이즈,라이즈 유력하긴 하네,만약에 결승도 노틸나오면 노틸할수도",leagueoflegends3,2777970,근데 만약 펀플 우승하면 미드는 뭐나올까
"좆까,ㅇㅇ,흠,씨발 비추나 100개쳐먹어 개 ㅤㅅㅐㄲ이야,개좆ㅤㅅㅡㅋ 1557따리 1557따,^존^,.,느금마 보지털,.,.,.,대황ㅤㅅㅡㅋ 우승 ㅅㅅ,대황ㅤㅅㅡㅋ 우승 ㅅㅅ,대황ㅤㅅㅡㅋ 우승 ㅅㅅ,ㄷ - dc App,니애미,1557,ㅇ  - dc App,고아천지노.안뒤지냐?,있어야합니다는 명령이고 씨발련아,섹스,느금마,3대1로 ㅤㅅㅡㅋ 우승,개좆ㅤㅅㅡㅋ갈 롤판영구퇴출기원,느검마,섹스는 해도 되나요?  - dc App,ㅇ,ㅇ,ㅇ,ㅇ,ㅇ,1557,니에미,일베 메갈새끼들 걍 공기아까우니 단체로 생매장해 뒤졌으면,씨맥없는 그리핀은 어떡하누..,일해 씨발새끼야,롤갤 념글 씹덕글 좀 지워 씨발,ㅇㅇ, 이거 념글 왜 안감? 념글 가는 기준이 뭐임? 씨발,버그냐?,씹덕 주작좀 어캐 해봐 ㅅㅂ,.,ㅅㅂ ㅋㅋㅋㅋ,""야 꿀벌"",씨발아 도배 좀 바로바로 잡아,네  - dc App,규남아 알바로 막으려면 조선족 3천명은 써야제,롤팁 ㅇㄷ?,노무헌,개좆ㅤㅅㅡㅋ 8강딱 ㅋㅋㅋㅋㅋㅋㅋㅋ,도배나 잡아라 좀ㅋㅋㅋ,상혁아 지금까지 고생많았다 더 추해지기 전에 은퇴하자",leagueoflegends3,1,리그 오브 레전드 관련 내용이 있어야 합니다.
